"Date","PaperID","Dead","Alive","TotalMos","ExposureDay","Month","RawMortProp"
"25/09/23",14,16,7,23,6,"September",0.695652173913043
"25/09/23",15,11,13,24,6,"September",0.458333333333333
"25/09/23",16,11,12,23,6,"September",0.478260869565217
"25/09/23",17,12,12,24,6,"September",0.5
"25/09/23",18,9,12,21,6,"September",0.428571428571429
"25/09/23",19,13,10,23,6,"September",0.565217391304348
"25/09/23",20,10,15,25,6,"September",0.4
"25/09/23",21,17,5,22,6,"September",0.772727272727273
"25/09/23",22,10,14,24,6,"September",0.416666666666667
"25/09/23",23,15,9,24,6,"September",0.625
"25/09/23",24,7,18,25,6,"September",0.28
"25/09/23",25,10,14,24,6,"September",0.416666666666667
"26/09/23",8,9,16,25,7,"September",0.36
"26/09/23",9,9,14,23,7,"September",0.391304347826087
"26/09/23",10,13,12,25,7,"September",0.52
"26/09/23",11,7,16,23,7,"September",0.304347826086957
"26/09/23",12,12,12,24,7,"September",0.5
"26/09/23",13,13,11,24,7,"September",0.541666666666667
"26/09/23",14,13,12,25,7,"September",0.52
"26/09/23",15,15,10,25,7,"September",0.6
"26/09/23",16,8,15,23,7,"September",0.347826086956522
"26/09/23",17,10,13,23,7,"September",0.434782608695652
"26/09/23",18,4,21,25,7,"September",0.16
"26/09/23",19,7,16,23,7,"September",0.304347826086957
"26/09/23",20,9,15,24,7,"September",0.375
"26/09/23",21,10,13,23,7,"September",0.434782608695652
"26/09/23",22,8,16,24,7,"September",0.333333333333333
"26/09/23",23,7,17,24,7,"September",0.291666666666667
"26/09/23",24,7,15,22,7,"September",0.318181818181818
"26/09/23",25,12,13,25,7,"September",0.48
